name,AwalLatitude,AwalLongi
PAS.MINGGUBARU,"-6.233.333,00","106.841.667,00"
PURWAKARTA,"-6.566.667,00","107.433.333,00"
PURWOSARI,"-7.766.667,00","110.383.333,00"
RANCAEKEK,"-6.933.333,00",107.6
RENDEH,"-6.433.333,00","106.825,00"
RAJAWALI,-6.2,"106.866.667,00"
RANGKASBITUNG,"-6.416.667,00","106.133.333,00"
RAWABUNTU,"-6.216.667,00","106.833.333,00"
RAWABUAYA,-6.2,"106.825,00"
SUDIMARA,"-6.216.667,00","106.841.667,00"
SOLO JEBRES,"-7.583.333,00","110.833.333,00"
SASAKSAAT,"-7.783.333,00","110.383.333,00"
SOLO BALAPAN,"-7.583.333,00","110.833.333,00"
SERPONG,"-6.283.333,00","106.733.333,00"
SUDIRMAN,"-6.225,00","106.816.667,00"
SUDIRMAN BARU,"-6.225,00","106.816.667,00"
SUKATANI,"-6.333.333,00","106.916.667,00"
SAWAHBESAR,"-6.166.667,00","106.816.667,00"
SROWOT,"-7.766.667,00","110.366.667,00"
TAMBUN,"-6.266.667,00","106.916.667,00"
TEBET,-6.25,"106.833.333,00"
TENJO,-6.3,"106.883.333,00"
TIGARAKSA,"-6.216.667,00","106.616.667,00"
TANAHABANG,"-6.216.667,00","106.816.667,00"
TAMANKOTA,"-6.233.333,00","106.791.667,00"
M.TELAGAMURNI,"-6.316.667,00",106.9
TANGERANG,"-6.183.333,00","106.633.333,00"
TANJUNGBARAT,"-6.216.667,00",106.6
TANJUNGPRIUK,"-6.125,00","106.883.333,00"
TANAHTINGGI,"-6.283.333,00","106.866.667,00"
UNIV.INDONESIA,"-6.283.333,00","106.841.667,00"
UNIV.PANCASILA,"-6.266.667,00",106.85
WOJO,-6.35,"106.866.667,00"
WANARAJA,"-7.383.333,00","109.166.667,00"
WATES,"-7.833.333,00","110.233.333,00"
YOGYAKARTA,"-7.783.333,00","110.366.667,00"
